City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Canguaretama,BR,88.5,broken clouds,-6.38,-35.1289,Pousada do Italiano
297,Nizwa,OM,86.85,clear sky,22.9333,57.5333,Orient Apartments
299,Hopelchen,MX,83.48,scattered clouds,19.7667,-89.85,Hotel Jaguar
302,Havelock,US,79.05,few clouds,34.8791,-76.9013,Sherwood Motel
305,Manuk Mangkaw,PH,84.54,overcast clouds,4.8,119.85,
319,Alyangula,AU,81.25,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
320,Adeje,ES,76.3,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
321,Hamilton,US,75.58,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
322,Rincon,US,80.85,few clouds,32.296,-81.2354,Days Inn Rincon
323,Faanui,PF,79.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
327,Sibiti,CG,84.61,broken clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
328,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
329,Ocos,GT,88.72,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
335,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
336,Itarema,BR,89.6,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
338,Bima,ID,78.89,overcast clouds,-8.4667,118.7167,Lambitu Hotel
340,Manokwari,ID,81.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
341,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
342,Bengkulu,ID,77.07,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
344,Cotonou,BJ,84.67,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
345,Kokstad,ZA,82.94,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
350,Russell,US,78.96,clear sky,32.3502,-85.1999,Macs
356,Buala,SB,79.99,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
359,Musafirkhana,IN,80.73,clear sky,26.3667,81.8,Suryakant Pandey
360,Tallahassee,US,82.33,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
362,Alofi,NU,75.33,clear sky,-19.0595,-169.9187,Taloa Heights
369,Kavieng,PG,82.71,few clouds,-2.5744,150.7967,Nusa Island Retreat
370,Guarapari,BR,87.69,light rain,-20.6667,-40.4975,Hotel Porto do Sol
372,Weligama,LK,79.52,light rain,5.9667,80.4167,Weligama Bay Resort
375,Naliya,IN,82.69,broken clouds,23.2667,68.8333,jadeja jayendrasinh
377,Rusape,ZW,76.44,broken clouds,-18.5278,32.1284,Surrey Lodge
379,Roma,US,75.38,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
383,Sibu,MY,76.6,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
384,Maumere,ID,79.97,overcast clouds,-8.6199,122.2111,Sylvia Hotel
385,Toucheng,TW,82.89,broken clouds,24.8592,121.8233,和風時尚VILLA會館
386,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
387,Singkang,MY,78.62,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
388,Biltine,TD,89.1,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
389,Tiznit,MA,86.05,clear sky,29.5833,-9.5,
396,Semenyih,MY,82.18,few clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
402,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
408,Gamboula,CF,80.15,light rain,4.1178,15.1393,
411,Tingi,TZ,78.69,overcast clouds,-11.3,35.0333,
412,Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
414,Kutum,SD,88.07,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
415,Djambala,CG,78.08,light rain,-2.5447,14.7533,Hotel Ravin D'or
417,Jam Sahib,PK,80.62,clear sky,26.2958,68.6292,Al Madina
422,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
426,Seal Beach,US,75.29,haze,33.7414,-118.1048,The Pacific Inn
427,Auki,SB,77.4,overcast clouds,-8.7676,160.7034,Auki Motel
428,Umm Lajj,SA,85.08,clear sky,25.0213,37.2685,Moon light Furnished Units
429,Soyo,AO,78.84,overcast clouds,-6.1349,12.3689,Hotel Mpampa
441,Kaputa,ZM,82.87,broken clouds,-8.4689,29.6619,Chelelwa Charlets
446,Micheweni,TZ,79.14,scattered clouds,-4.9667,39.8333,
448,Mahuva,IN,84.63,few clouds,21.0914,71.7622,Hotel Blue Diamond.
451,Sao Jose Da Coroa Grande,BR,84.09,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
452,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
453,Miri,MY,80.69,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
458,Qui Nhon,VN,79.47,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
461,Najran,SA,79.81,clear sky,17.4924,44.1277,محمد هادي ال فطيح
463,Galle,LK,80.98,broken clouds,6.0367,80.217,Amangalla
466,Porto Santo,PT,79.3,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
467,Tuy Hoa,VN,78.19,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
468,Kieta,PG,79.0,light rain,-6.2167,155.6333,Uruna Bay Retreat
471,Fairfield,US,75.43,scattered clouds,41.2668,-73.3162,
474,Mastic Beach,US,76.48,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
476,Wanning,CN,78.48,overcast clouds,18.8003,110.3967,Paradise Hotel
479,Ambilobe,MG,80.42,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
484,La Reforma,MX,79.25,overcast clouds,25.0833,-108.05,Hotel Reforma
485,Hays,US,79.61,few clouds,30.0502,-98.0336,Sinya on Lone Man Creek
486,Palafrugell,ES,76.08,overcast clouds,41.9174,3.1631,Hotel La Torre
487,Porto Nacional,BR,86.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
489,Sabang,ID,83.03,broken clouds,5.8933,95.3214,Hotel Citra
491,Sabha,LY,81.0,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
492,Greeneville,US,77.27,scattered clouds,36.1632,-82.831,General Morgan Inn and Conference Center
493,Port-Gentil,GA,79.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
497,Samarai,PG,77.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
498,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
499,Yaan,NG,88.79,scattered clouds,7.3833,8.5667,
500,Dubai,AE,85.62,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
502,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
