City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Isoka,ZM,2021-10-11 11:40:12,-10.1606,32.6335,90.57,19,79,6.6
68,Upernavik,GL,2021-10-11 11:40:12,72.7868,-56.1549,32.95,97,100,13.0
69,Burnie,AU,2021-10-11 11:40:12,-41.0667,145.9167,45.95,74,8,3.96
70,Vestmannaeyjar,IS,2021-10-11 11:40:13,63.4427,-20.2734,43.79,81,20,17.27
71,Avarua,CK,2021-10-11 11:40:13,-21.2078,-159.775,75.25,88,20,13.8
72,Vao,NC,2021-10-11 11:40:13,-22.6667,167.4833,70.65,68,51,13.73
73,Cape Town,ZA,2021-10-11 11:40:14,-33.9258,18.4232,90.01,12,0,5.75
74,Tazovskiy,RU,2021-10-11 11:40:14,67.4667,78.7,29.43,71,98,10.49
75,Aklavik,CA,2021-10-11 11:40:15,68.2191,-135.0107,27.43,95,92,4.68
76,East London,ZA,2021-10-11 11:40:15,-33.0153,27.9116,76.14,53,0,10.36
77,Elizabeth City,US,2021-10-11 11:40:15,36.2946,-76.2511,69.03,95,90,1.01
78,Chippewa Falls,US,2021-10-11 11:40:15,44.9369,-91.3929,51.98,84,1,4.61
79,Rauma,FI,2021-10-11 11:40:16,61.1272,21.5113,50.04,88,100,11.88
80,Pachino,IT,2021-10-11 11:40:16,36.7186,15.0907,71.64,41,0,20.45
81,Ivanovka,KG,2021-10-11 11:40:16,42.8878,75.085,52.23,54,83,3.74
82,Aksu,CN,2021-10-11 11:40:17,41.1231,80.2644,57.87,25,2,8.86
83,Key West,US,2021-10-11 11:40:17,24.5557,-81.7826,80.6,79,1,5.75
84,Port Blair,IN,2021-10-11 11:40:17,11.6667,92.75,81.3,84,100,17.96
85,Ostrovnoy,RU,2021-10-11 11:40:18,68.0531,39.5131,44.17,96,100,16.26
86,San Cristobal,VE,2021-10-11 11:40:18,7.7669,-72.225,68.18,94,98,0.98
87,Andros Town,BS,2021-10-11 11:40:19,24.7,-77.7667,75.16,77,95,8.32
88,Mecca,SA,2021-10-11 11:35:39,21.4267,39.8261,102.58,20,0,19.3
89,Tiksi,RU,2021-10-11 11:40:19,71.6872,128.8694,27.46,97,100,3.42
90,Williams Lake,CA,2021-10-11 11:40:19,52.1415,-122.1445,35.17,95,75,3.44
91,Amapa,BR,2021-10-11 11:40:20,1.0,-52.0,81.82,68,44,5.82
92,Shieli,KZ,2021-10-11 11:40:20,44.1667,66.75,59.83,29,22,11.43
93,Ambulu,ID,2021-10-11 11:40:21,-8.345,113.6058,75.45,81,86,2.73
94,Mapiri,BO,2021-10-11 11:40:21,-15.25,-68.1667,74.98,89,95,1.36
95,Berbera,SO,2021-10-11 11:40:21,10.4396,45.0143,90.91,60,26,12.64
96,Albany,US,2021-10-11 11:40:21,42.6001,-73.9662,58.8,94,45,2.39
97,Pangody,RU,2021-10-11 11:40:22,65.85,74.4859,28.78,70,96,5.82
98,Ribeira Grande,PT,2021-10-11 11:40:22,38.5167,-28.7,70.2,88,75,8.05
99,Beipiao,CN,2021-10-11 11:40:23,41.7919,120.7792,51.44,41,0,2.77
100,Nikolskoye,RU,2021-10-11 11:40:23,59.7035,30.7861,54.88,49,57,9.64
101,Georgetown,MY,2021-10-11 11:40:23,5.4112,100.3354,85.98,71,20,1.99
102,Bambous Virieux,MU,2021-10-11 11:40:24,-20.3428,57.7575,77.22,94,75,14.97
103,Mount Isa,AU,2021-10-11 11:40:20,-20.7333,139.5,71.37,94,90,8.05
104,Saint-Pierre,RE,2021-10-11 11:40:24,-21.3393,55.4781,78.48,78,90,13.8
105,Griffith,US,2021-10-11 11:40:24,41.5284,-87.4237,72.09,82,1,5.01
106,Port Lincoln,AU,2021-10-11 11:40:25,-34.7333,135.8667,53.91,65,50,11.45
107,Ahipara,NZ,2021-10-11 11:40:25,-35.1667,173.1667,60.28,91,100,14.47
108,Torbay,CA,2021-10-11 11:40:25,47.6666,-52.7314,46.89,89,20,9.22
109,Vila Velha,BR,2021-10-11 11:40:26,-20.3297,-40.2925,67.95,100,90,11.5
110,Port Elizabeth,ZA,2021-10-11 11:40:26,-33.918,25.5701,75.49,46,0,8.05
111,Pisco,PE,2021-10-11 11:40:26,-13.7,-76.2167,61.02,100,90,3.44
112,Vinkovci,HR,2021-10-11 11:40:27,45.2883,18.8047,49.95,93,90,4.61
113,Kyabram,AU,2021-10-11 11:40:27,-36.3167,145.05,45.68,62,1,13.0
114,Villa Bruzual,VE,2021-10-11 11:40:27,9.3328,-69.1208,74.66,94,75,3.0
115,Ulaangom,MN,2021-10-11 11:40:28,49.9811,92.0667,38.61,57,100,2.06
116,Sitka,US,2021-10-11 11:40:28,57.0531,-135.33,46.29,87,90,5.75
117,Ares,BR,2021-10-11 11:40:28,-6.1944,-35.1603,82.49,52,31,10.74
118,Saldanha,ZA,2021-10-11 11:40:28,-33.0117,17.9442,93.25,52,47,12.17
119,Mont-Dore,NC,2021-10-11 11:40:29,-22.2833,166.5833,73.38,79,39,6.67
120,Kavaratti,IN,2021-10-11 11:40:29,10.5669,72.642,81.91,81,100,18.34
121,Kirovskiy,RU,2021-10-11 11:40:30,45.0917,133.5136,45.77,71,1,3.62
122,Tasiilaq,GL,2021-10-11 11:40:30,65.6145,-37.6368,35.76,56,85,3.85
123,Avera,US,2021-10-11 11:40:30,33.194,-82.5271,63.72,94,77,5.86
124,Kieta,PG,2021-10-11 11:40:30,-6.2167,155.6333,79.81,81,100,1.21
125,Semey,KZ,2021-10-11 11:40:31,50.4111,80.2275,44.82,100,90,11.18
126,Jamestown,US,2021-10-11 11:40:31,42.097,-79.2353,63.99,95,1,1.99
127,Paramonga,PE,2021-10-11 11:40:32,-10.6667,-77.8333,63.28,89,77,6.62
128,Mar Del Plata,AR,2021-10-11 11:39:54,-38.0023,-57.5575,61.09,62,90,10.0
129,Saint Anthony,US,2021-10-11 11:40:32,45.0205,-93.218,53.26,85,1,1.01
130,Rorvik,NO,2021-10-11 11:40:32,64.8621,11.2373,48.31,100,75,4.61
131,Garwolin,PL,2021-10-11 11:40:33,51.8975,21.6147,58.77,33,86,4.7
132,Lompoc,US,2021-10-11 11:40:33,34.6391,-120.4579,58.68,85,90,8.05
133,Pitea,SE,2021-10-11 11:40:34,65.3172,21.4794,51.89,70,98,5.68
134,Luba,GQ,2021-10-11 11:40:34,3.4568,8.5547,79.52,84,72,4.9
135,Atuona,PF,2021-10-11 11:40:34,-9.8,-139.0333,77.7,78,22,21.61
136,Codrington,AU,2021-10-11 11:40:35,-38.2667,141.9667,43.27,79,6,8.28
137,Cidreira,BR,2021-10-11 11:40:35,-30.1811,-50.2056,66.2,77,100,21.85
138,Narsaq,GL,2021-10-11 11:40:35,60.9167,-46.05,28.62,50,6,2.06
139,Tuktoyaktuk,CA,2021-10-11 11:40:36,69.4541,-133.0374,27.95,88,99,3.6
140,Benjamin Aceval,PY,2021-10-11 11:40:36,-24.9667,-57.5667,75.34,84,84,4.74
141,Port Alfred,ZA,2021-10-11 11:40:36,-33.5906,26.891,80.01,47,81,13.6
142,Taltal,CL,2021-10-11 11:40:20,-25.4,-70.4833,61.57,66,19,1.79
143,Auki,SB,2021-10-11 11:40:37,-8.7676,160.7034,78.78,85,93,2.04
144,Bagua Grande,PE,2021-10-11 11:40:37,-5.7561,-78.4411,74.32,82,54,1.39
145,Bethel,US,2021-10-11 11:40:38,41.3712,-73.414,62.49,90,71,1.99
146,Cabo San Lucas,MX,2021-10-11 11:40:02,22.8909,-109.9124,82.51,83,42,5.17
147,Lebu,CL,2021-10-11 11:40:38,-37.6167,-73.65,50.77,83,99,16.17
148,Geraldton,AU,2021-10-11 11:40:38,-28.7667,114.6,62.13,82,75,18.41
149,Ginir,ET,2021-10-11 11:40:39,7.1333,40.7,68.27,67,89,4.03
150,Luganville,VU,2021-10-11 11:40:39,-15.5333,167.1667,78.04,84,82,7.07
151,Grand-Santi,GF,2021-10-11 11:40:39,4.25,-54.3833,80.71,75,76,4.7
152,La Libertad,EC,2021-10-11 11:40:40,-2.2333,-80.9,67.66,88,20,0.0
153,San-Pedro,CI,2021-10-11 11:40:40,4.7485,-6.6363,76.28,92,98,4.05
154,Antofagasta,CL,2021-10-11 11:40:40,-23.65,-70.4,58.28,66,8,4.68
155,Gat,IL,2021-10-11 11:40:41,31.61,34.7642,91.4,34,1,12.24
156,Fortuna,US,2021-10-11 11:36:58,40.5982,-124.1573,51.66,56,19,5.01
157,Castro,BR,2021-10-11 11:40:41,-24.7911,-50.0119,57.06,98,100,7.74
158,Cherskiy,RU,2021-10-11 11:40:42,68.75,161.3,-2.15,98,12,4.27
159,Provideniya,RU,2021-10-11 11:40:42,64.3833,-173.3,29.25,85,100,5.84
160,Agadir,MA,2021-10-11 11:40:42,30.4202,-9.5982,73.85,66,22,7.49
161,Dali,CN,2021-10-11 11:40:43,25.7,100.1833,62.85,83,46,3.58
162,Mahebourg,MU,2021-10-11 11:40:43,-20.4081,57.7,77.25,94,75,14.97
163,Nichinan,JP,2021-10-11 11:40:43,31.6,131.3667,80.28,87,29,4.29
164,Kahului,US,2021-10-11 11:40:44,20.8947,-156.47,76.84,86,40,9.22
165,Alihe,CN,2021-10-11 11:40:44,50.5667,123.7167,40.35,74,4,2.33
166,Chifeng,CN,2021-10-11 11:40:44,42.2683,118.9636,49.35,32,0,2.59
167,Bukachacha,RU,2021-10-11 11:40:45,52.9833,116.9167,37.27,75,12,3.31
168,Port Hardy,CA,2021-10-11 11:40:45,50.6996,-127.4199,44.6,100,90,4.61
169,Saint-Augustin,CA,2021-10-11 11:40:45,51.226,-58.6502,52.03,81,33,3.74
170,Atar,MR,2021-10-11 11:40:46,20.5169,-13.0499,97.14,12,1,2.37
171,Naspur,IN,2021-10-11 11:40:46,18.8333,79.45,81.43,70,8,4.59
172,Coihaique,CL,2021-10-11 11:40:47,-45.5752,-72.0662,48.15,76,90,9.22
173,West Plains,US,2021-10-11 11:40:47,36.7281,-91.8524,68.09,96,100,1.99
174,Guerrero Negro,MX,2021-10-11 11:40:47,27.9769,-114.0611,67.53,77,0,10.45
175,Neiafu,TO,2021-10-11 11:40:48,-18.65,-173.9833,74.52,75,85,8.19
176,Pinheiro Machado,BR,2021-10-11 11:40:48,-31.5783,-53.3811,58.78,99,100,9.93
177,Yuanping,CN,2021-10-11 11:40:49,38.7153,112.7575,49.42,43,0,0.94
178,Arman,RU,2021-10-11 11:40:49,59.7,150.1667,30.85,60,7,4.94
179,Nioro,GM,2021-10-11 11:40:50,13.35,-15.75,90.18,55,81,4.14
180,Morros,BR,2021-10-11 11:40:51,-9.4467,-46.3003,94.12,30,68,3.13
181,Ambilobe,MG,2021-10-11 11:40:51,-13.2,49.05,87.04,44,13,11.54
182,Matagami,CA,2021-10-11 11:40:52,49.7502,-77.6328,60.91,94,90,13.8
183,Biak,ID,2021-10-11 11:40:52,-0.9131,122.8766,78.44,84,96,4.9
184,Sao Filipe,CV,2021-10-11 11:40:52,14.8961,-24.4956,81.55,68,0,8.1
185,Korla,CN,2021-10-11 11:40:52,41.7597,86.1469,54.27,28,81,2.46
186,Weatherford,US,2021-10-11 11:38:46,32.7593,-97.7972,60.39,82,0,4.0
187,San Patricio,US,2021-10-11 11:40:53,28.017,-97.5169,82.49,79,70,5.26
188,Dzhebariki-Khaya,RU,2021-10-11 11:40:53,62.2167,135.8,32.31,93,100,7.2
189,Damaturu,NG,2021-10-11 11:40:53,11.747,11.9608,94.98,26,96,7.0
190,Vila Franca Do Campo,PT,2021-10-11 11:40:54,37.7167,-25.4333,72.01,91,100,12.35
191,Sassandra,CI,2021-10-11 11:40:54,4.95,-6.0833,81.1,76,98,5.66
192,Bud,US,2021-10-11 11:40:55,39.447,-86.1758,67.95,95,97,10.74
193,Norman Wells,CA,2021-10-11 11:40:55,65.282,-126.8329,24.84,100,90,2.3
194,Ixtapa,MX,2021-10-11 11:40:55,20.7,-105.2,77.23,94,90,0.0
195,Normandin,CA,2021-10-11 11:36:52,48.8333,-72.5321,55.71,94,99,4.61
196,Longhua,CN,2021-10-11 11:40:56,23.6137,114.1919,70.45,79,60,5.37
197,Tsiroanomandidy,MG,2021-10-11 11:40:56,-18.7667,46.0333,89.06,26,6,8.39
198,Yerbogachen,RU,2021-10-11 11:40:57,61.2767,108.0108,24.69,57,99,11.45
199,Tautira,PF,2021-10-11 11:40:57,-17.7333,-149.15,77.0,78,99,13.4
200,Pascagoula,US,2021-10-11 11:40:57,30.3658,-88.5561,75.04,100,1,0.0
201,Lagoa,PT,2021-10-11 11:40:57,39.05,-27.9833,70.7,84,100,4.36
202,Bull Savanna,JM,2021-10-11 11:40:58,17.8868,-77.5902,75.13,82,40,5.79
203,Sabang,ID,2021-10-11 11:40:58,5.8933,95.3214,82.47,81,40,24.54
204,Paratinga,BR,2021-10-11 11:40:59,-12.6906,-43.1842,89.22,31,68,5.3
205,Turayf,SA,2021-10-11 11:40:59,31.6725,38.6637,91.65,17,0,6.91
206,Changying,CN,2021-10-11 11:40:59,52.8733,123.3213,36.16,70,40,5.66
207,Tuy Hoa,VN,2021-10-11 11:41:00,13.0833,109.3,78.53,89,66,3.47
208,Yasu,JP,2021-10-11 11:41:00,35.068,136.0233,75.9,85,80,1.88
209,Yeniseysk,RU,2021-10-11 11:41:01,58.4497,92.1703,28.36,58,31,2.24
210,Rio Grande,BR,2021-10-11 11:38:02,-32.035,-52.0986,64.94,83,100,25.23
211,Mataram,ID,2021-10-11 11:41:01,-8.5833,116.1167,79.61,79,98,9.4
212,Manuk Mangkaw,PH,2021-10-11 11:41:02,4.8,119.85,84.4,78,100,12.64
213,Chokurdakh,RU,2021-10-11 11:41:03,70.6333,147.9167,18.9,87,100,6.51
214,Saint-Philippe,RE,2021-10-11 11:41:03,-21.3585,55.7679,78.22,85,43,8.46
215,Ulladulla,AU,2021-10-11 11:41:03,-35.35,150.4667,52.7,68,48,3.51
216,Havre-Saint-Pierre,CA,2021-10-11 11:41:04,50.2334,-63.5986,52.39,100,1,2.3
217,Ossora,RU,2021-10-11 11:41:04,59.2353,163.0719,36.57,76,100,11.86
218,Karratha,AU,2021-10-11 11:41:04,-20.7377,116.8463,76.05,60,2,9.84
219,Severo-Kurilsk,RU,2021-10-11 11:41:05,50.6789,156.125,46.36,84,60,20.54
220,Hithadhoo,MV,2021-10-11 11:41:05,-0.6,73.0833,82.94,73,57,15.7
221,Belyy Yar,RU,2021-10-11 11:41:06,53.6039,91.3903,42.69,81,40,11.18
222,Antalaha,MG,2021-10-11 11:41:06,-14.9003,50.2788,79.99,62,21,16.31
223,Beringovskiy,RU,2021-10-11 11:41:06,63.05,179.3167,20.71,89,58,4.9
224,Ponta Do Sol,PT,2021-10-11 11:41:07,32.6667,-17.1,76.71,73,37,2.01
225,Clyde River,CA,2021-10-11 11:41:07,70.4692,-68.5914,39.43,75,40,11.5
226,West Wendover,US,2021-10-11 11:37:46,40.7391,-114.0733,42.01,70,1,8.05
227,Pangnirtung,CA,2021-10-11 11:41:07,66.1451,-65.7125,30.2,93,75,2.3
228,Talnakh,RU,2021-10-11 11:41:07,69.4865,88.3972,23.72,95,100,10.83
229,Kapoeta,SS,2021-10-11 11:41:08,4.7717,33.5903,96.22,27,6,15.5
230,Verkhniy Fiagdon,RU,2021-10-11 11:41:08,42.8333,44.3053,52.47,77,29,1.54
231,Independence,US,2021-10-11 11:40:12,39.0911,-94.4155,60.08,93,90,5.01
232,Bredasdorp,ZA,2021-10-11 11:41:09,-34.5322,20.0403,88.92,22,87,6.91
233,Mathathane,BW,2021-10-11 11:41:09,-22.2687,28.7495,76.26,28,29,17.81
234,Husavik,IS,2021-10-11 11:41:09,66.0449,-17.3389,31.91,72,59,7.09
235,Mingshui,CN,2021-10-11 11:41:10,36.7167,117.5,54.36,58,21,4.99
236,Novoseleznevo,RU,2021-10-11 11:41:10,55.6821,69.2056,37.33,44,24,4.72
237,Luwuk,ID,2021-10-11 11:41:10,-0.9516,122.7875,79.56,88,95,4.38
238,Aitape,PG,2021-10-11 11:41:11,-3.1374,142.3475,80.17,84,48,3.18
239,Najran,SA,2021-10-11 11:41:11,17.4924,44.1277,92.05,13,15,19.26
240,La Palma,US,2021-10-11 11:41:12,33.8464,-118.0467,64.49,90,75,3.44
241,Pocatello,US,2021-10-11 11:40:37,42.8713,-112.4455,48.72,74,90,15.99
242,Tutoia,BR,2021-10-11 11:41:12,-2.7619,-42.2744,83.53,67,41,13.53
243,Chiman,PK,2021-10-11 11:41:12,32.5463,73.8138,91.54,33,0,4.88
244,Bolkhov,RU,2021-10-11 11:41:13,53.4433,36.0044,52.68,46,99,5.82
245,Namatanai,PG,2021-10-11 11:41:13,-3.6667,152.4333,80.55,81,53,5.75
246,Zuya,UA,2021-10-11 11:41:13,45.0531,34.3154,64.72,44,46,5.93
247,Lavrentiya,RU,2021-10-11 11:41:14,65.5833,-171.0,28.62,79,100,7.18
248,Souillac,MU,2021-10-11 11:41:14,-20.5167,57.5167,77.36,94,75,14.97
249,Sao Jose Da Coroa Grande,BR,2021-10-11 11:41:15,-8.8978,-35.1478,82.15,64,50,8.3
250,Olafsvik,IS,2021-10-11 11:41:15,64.8945,-23.7142,41.0,64,10,4.83
251,Namibe,AO,2021-10-11 11:41:15,-15.1961,12.1522,79.43,69,20,20.71
252,Tirumullaivasal,IN,2021-10-11 11:41:16,11.2333,79.8333,83.77,77,98,11.52
253,Fallon,US,2021-10-11 11:41:16,39.4735,-118.7774,44.47,74,40,19.57
254,Atenco,MX,2021-10-11 11:41:16,19.8858,-97.9258,60.84,78,5,7.11
255,Barcelos,PT,2021-10-11 11:36:19,41.5388,-8.6151,77.29,32,47,7.81
256,Poros,GR,2021-10-11 11:41:17,37.4994,23.4536,80.69,63,29,5.75
257,Chuy,UY,2021-10-11 11:41:17,-33.6971,-53.4616,58.78,95,100,20.85
258,Gunjur,GM,2021-10-11 11:41:17,13.2019,-16.7339,87.87,74,27,5.75
259,Stephenville Crossing,CA,2021-10-11 11:41:18,48.5,-58.4318,48.33,100,90,3.44
260,Santa Maria,BR,2021-10-11 11:41:18,-29.6842,-53.8069,61.9,100,75,8.05
261,Prieska,ZA,2021-10-11 11:41:18,-29.6641,22.7474,90.03,16,11,16.96
262,Leshukonskoye,RU,2021-10-11 11:41:19,64.8989,45.7622,48.09,96,100,7.87
263,Nyurba,RU,2021-10-11 11:41:19,63.2842,118.3319,28.63,70,87,11.48
264,Sembe,CG,2021-10-11 11:41:20,1.6481,14.5806,89.85,48,82,2.62
265,Hamilton,US,2021-10-11 11:37:24,39.1834,-84.5333,67.75,91,1,1.01
266,Linxia,CN,2021-10-11 11:41:20,35.6003,103.2064,54.45,70,0,1.57
267,Kysyl-Syr,RU,2021-10-11 11:41:20,63.8986,122.7617,28.78,67,72,10.78
268,Sao Miguel Do Araguaia,BR,2021-10-11 11:41:21,-13.275,-50.1628,90.5,38,100,3.51
269,Acapulco,MX,2021-10-11 11:41:21,16.8634,-99.8901,76.6,85,8,3.78
270,Bengkulu,ID,2021-10-11 11:41:22,-3.8004,102.2655,76.68,81,100,3.65
271,Beirut,LB,2021-10-11 11:41:22,33.8889,35.4944,82.87,69,20,9.22
272,Longyearbyen,SJ,2021-10-11 11:41:22,78.2186,15.6401,31.84,69,75,19.57
273,Talcahuano,CL,2021-10-11 11:41:23,-36.7167,-73.1167,46.08,100,0,5.75
274,Qaqortoq,GL,2021-10-11 11:41:23,60.7167,-46.0333,28.9,47,4,1.61
275,Nong Khae,TH,2021-10-11 11:41:24,14.3406,100.8673,85.95,89,100,4.94
276,Hasaki,JP,2021-10-11 11:41:24,35.7333,140.8333,73.69,82,3,7.4
277,Alofi,NU,2021-10-11 11:41:24,-19.0595,-169.9187,71.49,100,75,2.3
278,Beldanga,IN,2021-10-11 11:41:25,23.9333,88.25,85.44,64,4,6.71
279,Anadyr,RU,2021-10-11 11:41:25,64.75,177.4833,19.9,92,90,4.0
280,Nenjiang,CN,2021-10-11 11:41:25,49.1833,125.2167,46.54,58,2,4.83
281,Mbandaka,CD,2021-10-11 11:41:26,0.0487,18.2603,75.7,92,99,2.42
282,Ahmadpur East,PK,2021-10-11 11:41:26,29.1431,71.2598,98.55,11,0,7.67
283,Tauramena,CO,2021-10-11 11:41:26,5.0183,-72.7492,70.41,98,100,2.48
284,Elban,RU,2021-10-11 11:41:27,50.1018,136.5094,41.99,89,63,2.82
285,Leiyang,CN,2021-10-11 11:41:27,26.4024,112.8591,55.33,86,100,6.38
286,Esperance,AU,2021-10-11 11:41:27,-33.8667,121.9,51.64,88,95,29.95
287,Nemuro,JP,2021-10-11 11:41:28,43.3236,145.575,55.87,69,100,19.44
288,Matara,LK,2021-10-11 11:41:28,5.9485,80.5353,79.47,86,64,15.55
289,Isangel,VU,2021-10-11 11:41:29,-19.55,169.2667,70.83,81,6,7.49
290,Bathsheba,BB,2021-10-11 11:41:29,13.2167,-59.5167,84.81,74,75,17.27
291,Ilulissat,GL,2021-10-11 11:41:29,69.2167,-51.1,30.22,80,75,0.0
292,Kyabe,TD,2021-10-11 11:41:30,9.4515,18.9449,91.62,52,74,4.79
293,Walvis Bay,NA,2021-10-11 11:41:30,-22.9575,14.5053,72.55,49,7,8.05
294,Santa Cruz,BO,2021-10-11 11:41:30,-17.8,-63.1667,71.65,88,90,11.5
295,Sarkand,KZ,2021-10-11 11:41:31,45.41,79.9186,44.2,66,88,8.01
