City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kiunga,PG,-6.1219,141.2906,72.21,92,71,2.62,broken clouds
80,Korla,CN,41.7597,86.1469,53.53,30,0,4.38,clear sky
81,Ahipara,NZ,-35.1667,173.1667,47.86,82,0,3.98,clear sky
82,Luderitz,NA,-26.6481,15.1594,62.87,64,51,28.1,broken clouds
83,Barrow,US,71.2906,-156.7887,24.82,80,90,18.41,light snow
84,Saint George,US,37.1041,-113.5841,52.27,49,0,1.99,clear sky
85,Airai,TL,-8.9266,125.4092,63.97,91,94,1.14,overcast clouds
86,Salalah,OM,17.0151,54.0924,80.69,83,0,4.61,clear sky
87,Murray Bridge,AU,-35.1167,139.2667,55.56,77,51,13.65,broken clouds
88,Narsaq,GL,60.9167,-46.05,35.82,39,100,1.3,overcast clouds
89,Itapetininga,BR,-23.5917,-48.0531,84.56,46,100,9.19,overcast clouds
90,Dingle,PH,10.9995,122.6711,76.77,91,100,0.98,overcast clouds
91,Salinopolis,BR,-0.6136,-47.3561,86.25,61,64,11.59,broken clouds
92,Punta Arenas,CL,-53.15,-70.9167,48.31,57,75,34.52,light rain
93,Wonthaggi,AU,-38.6044,145.5913,55.71,92,100,27.25,overcast clouds
94,Hobart,AU,-42.8794,147.3294,52.27,91,90,7.0,overcast clouds
95,Houma,US,29.5958,-90.7195,84.0,82,65,4.5,broken clouds
96,Aimores,BR,-19.4958,-41.0639,84.96,61,88,3.78,overcast clouds
97,Kushiro,JP,42.975,144.3747,46.6,76,8,7.94,clear sky
98,Shirdi,IN,19.7667,74.4833,77.49,61,100,7.29,overcast clouds
99,Fort-Shevchenko,KZ,44.5086,50.263,61.07,45,9,2.04,clear sky
100,Santa Maria,BR,-29.6842,-53.8069,61.83,96,100,13.56,overcast clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,71,12,8.21,few clouds
102,Kaeo,NZ,-35.1,173.7833,45.32,91,5,2.51,clear sky
103,Dudinka,RU,69.4058,86.1778,33.13,99,100,13.8,overcast clouds
104,Cabo San Lucas,MX,22.8909,-109.9124,80.15,73,20,4.61,few clouds
105,Bolshaya Dzhalga,RU,45.9695,42.6966,64.22,45,67,8.86,broken clouds
106,Maniwaki,CA,46.3834,-75.966,62.22,92,100,5.06,overcast clouds
107,Prince Rupert,CA,54.3161,-130.3201,46.09,88,75,5.75,fog
108,Kapaa,US,22.0752,-159.319,73.72,80,90,14.97,light rain
109,Guerrero Negro,MX,27.9769,-114.0611,69.4,55,0,0.83,clear sky
110,Moose Factory,CA,51.2585,-80.6094,55.81,79,7,8.52,clear sky
111,Port Hardy,CA,50.6996,-127.4199,49.19,95,100,14.32,light rain
112,Talaya,RU,61.3833,152.75,4.3,98,100,4.41,overcast clouds
113,Malindi,KE,-3.2175,40.1191,79.07,80,82,12.39,broken clouds
114,Takoradi,GH,4.8845,-1.7554,82.81,74,36,10.67,light rain
115,Port Elizabeth,ZA,-33.918,25.5701,64.09,71,100,17.63,overcast clouds
116,Montepuez,MZ,-13.1256,38.9997,82.15,45,95,9.53,overcast clouds
117,Itaituba,BR,-4.2761,-55.9836,101.05,28,100,5.17,overcast clouds
118,Ponta Delgada,PT,37.7333,-25.6667,74.12,83,20,11.5,few clouds
119,Belyy Yar,RU,53.6039,91.3903,24.69,86,2,6.71,smoke
120,Soskovo,RU,52.7475,35.3828,42.62,76,10,8.7,clear sky
121,Yen Bai,VN,21.7,104.8667,70.57,98,100,3.85,overcast clouds
122,Say,NE,13.1007,2.3689,102.51,12,7,10.16,clear sky
123,Tautira,PF,-17.7333,-149.15,75.0,79,30,15.14,light rain
124,Tuatapere,NZ,-46.1333,167.6833,37.72,88,80,5.28,broken clouds
125,Isetskoye,RU,56.4858,65.3226,48.27,59,90,8.79,overcast clouds
126,Methoni,GR,36.8197,21.7049,65.21,65,97,22.62,overcast clouds
127,Brewster,US,41.3973,-73.6171,75.27,77,74,1.01,broken clouds
128,Kudal,IN,16.0333,73.6833,79.18,88,100,3.0,overcast clouds
129,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,60.78,95,100,15.57,light rain
130,Hovd,MN,48.0056,91.6419,32.94,59,6,1.12,clear sky
131,Umm Kaddadah,SD,13.6017,26.6876,97.11,21,67,8.7,broken clouds
132,Kavaratti,IN,10.5669,72.642,82.04,82,100,16.35,overcast clouds
133,Thinadhoo,MV,0.5333,72.9333,83.37,77,67,23.76,broken clouds
134,Yumen,CN,40.2833,97.2,44.69,23,7,19.75,clear sky
